sl_no,city,hospital_name,address,phone,email,empanelled_for,empanelment_date,payment_notes
189,Indore,Greater Kailash Hospitals Pvt.Ltd.,"Ph No. 0731 4231 000, Fax No. 0731 4231, E mail : response@saimsonline.com, 11/2, Old Palasia, Greater Kailash Road, Indore - 18 (MP), Ph No. 0731 6633333; 2444400, Fax No. 4, E mail : data@gkh.co.in, Medanta Superspeciality Hospital, Indor, Plot No. 8, PU4, Scheme No.54, Vijaynag",,data@gkh.co.in; response@saimsonline.com,"(OPD & Indoor) 010-12 , Total facilities of the hospital (OPD & Indoor) 043929 e ar Square,",23.12.2014,
190,Indore,"Medanta Superspeciality Hospital, Indor","Ph No. 0731 6633333; 2444400, Fax No. 4, E mail : data@gkh.co.in, Plot No. 8, PU4, Scheme No.54, Vijaynag, A.B.Road, Indore (M.P.), Tel.: +91 731 4747000, Mob.: +91 777100, Fax: +91 731 4747001, Email: anurag.chaturvedi@medanta.org, Apollo Hospitals, Indore , Scheme No. 7","+91 731 4747000,; +91 731 4747001",data@gkh.co.in; anurag.chaturvedi@medanta.org,"(OPD & Indoor) 043929 e ar Square, Total facilities of the hospital 9902 (OPD & Indoor) 4C, Sector Total facilities of hospital",06.04.2017,
191,Indore,"Apollo Hospitals, Indore , Scheme No. 7","Tel.: +91 731 4747000, Mob.: +91 777100, Fax: +91 731 4747001, Email: anurag.chaturvedi@medanta.org, D, Vijay Nagar, Madhya Pradesh PIN : 452010, PH :7312445566, MAHAKOSHAL HOSPITAL PVT LTD, OPP, Wright Town Stadium Gate No. 3, Jab","+91 731 4747000,; +91 731 4747001; 7312445566",anurag.chaturvedi@medanta.org,"9902 (OPD & Indoor) 4C, Sector Total facilities of hospital (OPD & Indoor) Payment as per MoU. alpur- Total facilities of hospital",08.10.2025,Madhya Pradesh PIN : 452010                           Payment as per MoU.
192,Jabalpur,MAHAKOSHAL HOSPITAL PVT LTD,"PH :7312445566, OPP, Wright Town Stadium Gate No. 3, Jab, 482002, (MP), Ph:-: 0761-2401909, 2610480/4064780, FaX:-0761-4063438, E-mail:- info@mahakoshalhospital.com, Ashis Hospital, 1309, NAPIER Town, Home Science College",7312445566; 0761-4063438,info@mahakoshalhospital.com,alpur- Total facilities of hospital (OPD & Indoor) Road,06.04.2011,
193,Jabalpur,Ashis Hospital,"Ph:-: 0761-2401909, 2610480/4064780, FaX:-0761-4063438, E-mail:- info@mahakoshalhospital.com, 1309, NAPIER Town, Home Science College, Jabalpur, Ph. 07612401637/2410535/2412870, Fax No.07612410470, Email.ashishospitaljbp@gmail.com, Bombay Hospital & Research Centre,, Gol Bazar, Jabalpur, M.P.-482002",0761-4063438; 07612401637/2410535/2412870                        (,Email.ashishospitaljbp@gmail.com; info@mahakoshalhospital.com,Road Total facilities of hospital (OPD & Indoor),04.01.2013,
194,Jabalpur,Bombay Hospital & Research Centre,"Ph. 07612401637/2410535/2412870, Fax No.07612410470, Email.ashishospitaljbp@gmail.com, Gol Bazar, Jabalpur, M.P.-482002, Ph.07612410202/2412110/4007317, Fax No.07612610510, Email.bhrcjbp@hotmail.com, Aditya Superspeciality Hospital & Trauma, Opp. Little Kingdom School, M.L.B. Schoo",07612401637/2410535/2412870                        (; 07612410202/2412110/4007317,Email.ashishospitaljbp@gmail.com; Email.bhrcjbp@hotmail.com,(OPD & Indoor) Total facilities of hospital (OPD & Indoor) Centre l Road,04.01.2013,
195,Jabalpur,Aditya Superspeciality Hospital & Trauma,"Fax No.07612610510, Email.bhrcjbp@hotmail.com, Opp. Little Kingdom School, M.L.B. Schoo, Napier Town, Jabalpur, Ph:- 0761-4218312 / 4218313, Anant Institute of Medical Sciences,, Near Madan Mahal, Railway Station Road",0761-4218312 / 4218313,Email.bhrcjbp@hotmail.com,(OPD & Indoor) Centre l Road Total facilities of hospital (OPD & Indoor),18.06.2014,
196,Jabalpur,Anant Institute of Medical Sciences,"Ph:- 0761-4218312 / 4218313, Near Madan Mahal, Railway Station Road,, Wright Town, Jabalpur (MP), Ph No. 0761 2411961; 962, Fax No. 0761 2, E mail : ananhospitalapril2000@gmail.com, Infinity Hospital & Research Center Pvt., 2nd Floor Dixit Pride, Near Taiyyab Ali",0761-4218312 / 4218313,ananhospitalapril2000@gmail.com,"(OPD & Indoor) Total facilities of the hospital (OPD & Indoor) 402594 Ltd., Petrol Pump, Single Speciality –",23.12.2014,
197,Jabalpur,Infinity Hospital & Research Center Pvt.,"Ph No. 0761 2411961; 962, Fax No. 0761 2, E mail : ananhospitalapril2000@gmail.com, 2nd Floor Dixit Pride, Near Taiyyab Ali, Napier Town, Jabalpur (MP) – 482001., Ph No. 0761 4032232/ 262007;, Mobile No. - 08982110032, 09755550115;, E mail : infinityheartinstitute01@gmail., Baderia Metroprime Multispeciality Hospi, (A unit of Satya Sai Cancer Society)",,infinityheartinstitute01@gmail.com; ananhospitalapril2000@gmail.com,"(OPD & Indoor) 402594 Ltd., Petrol Pump, Single Speciality – CARDIOLOGY (OPD & Indoor) com tal , Total facilities of the hospital Name of",06.10.2016,
198,Jabalpur,Jabalpur Hospital & Research Centre,"Ph No. 0761 4032232/ 262007;, Mobile No. - 08982110032, 09755550115;, E mail : infinityheartinstitute01@gmail., Baderia Metroprime Multispeciality Hospi, (A unit of Satya Sai Cancer Society), Kuchaini Parisar, Damoh Naka, Jabalpur–, Ph No. 0761 2641661/ 4062000;, Fax No. – 0761 2641662;, E mail : metro_cancerhospital@yahoo.com, Russel Crossing, Napier Town, Jabalpur –",,infinityheartinstitute01@gmail.com; metro_cancerhospital@yahoo.com,"(OPD & Indoor) com tal , Total facilities of the hospital Name of 482002. (OPD & Indoor), hospital modified on 1/1/2024 482002",06.10.2016,
199,Jabalpur,Jabalpur Hospital & Research Centre,"Ph No. 0761 2641661/ 4062000;, Fax No. – 0761 2641662;, E mail : metro_cancerhospital@yahoo.com, Russel Crossing, Napier Town, Jabalpur –, Ph.: 0761-2450761-62, 4026000, Fax: 0761-4036343/ 2450606, Email: jhrc_hrd@yahoo.co.in, Dube Surgical and Dental Hospital,, Ghamapur Chowk,, Jabalpur Madhya Pradesh, PH.: 0761-2622919, +91-8817125235, Email: dsdhospital@gmail.com, Best Supersepciality Hospital","0761-2450761-62, 4026000                                                             06; 0761-4036343/ 2450606; 0761-2622919, +91-8817125235                           (",dsdhospital@gmail.com; metro_cancerhospital@yahoo.com; jhrc_hrd@yahoo.co.in,"modified on 1/1/2024 482002 Total facilities of the hospital (OPD & Indoor) Maxillofacial and Dental Services Only (OPD & INDOOR) Total facilities of hospital (OPD & Indoor), Payments",06.08.2017,"(OPD & Indoor), Payments"
201,Jabalpur,"PH.: 0761-2622919, +91-8817125235","Ghamapur Chowk,, Jabalpur Madhya Pradesh, Email: dsdhospital@gmail.com, Best Supersepciality Hospital,, 135, Napier Town, Home Science College R, Jabalpur (M.P.), Swastik Multispeciality Hospital & Resea","0761-2622919, +91-8817125235                           (",dsdhospital@gmail.com,"Maxillofacial and Dental Services Only (OPD & INDOOR) Total facilities of hospital (OPD & Indoor), Payments oad, in favor of 31. 12.2021 BEST SUPERSPECIALITY HOSPITAL rch Centre,",06.08.2017,"(OPD & Indoor), Payments Jabalpur                                                                     in favor of             31. 12.2021"
202,Jabalpur,Swastik Multispeciality Hospital & Resea,"Jabalpur (M.P.), Near Deendayal Chowk,, Jabalpur, Madhya Pradesh-482002, ASG Hospital PVT. LTD.",,,"BEST SUPERSPECIALITY HOSPITAL rch Centre, Total facilities of the hospital (OPD & Indoor)",15.06.2022,
203,Jabalpur,ASG Hospital PVT. LTD.,"Jabalpur, Madhya Pradesh-482002, 124, Near Shastri Bridge, Napier Town, Jabalpur, Madhya Pradesh 482002, Shalby Multi-Specialty Hospitals, Plot",,,"(OPD & Indoor) For Ophthalmology Services Only -B, Scheme",08.08.2024,
204,Jabalpur,"Laxmi Narayan Hospital, 1125, Madan Ma","Jabalpur, Madhya Pradesh 482002, Shalby Multi-Specialty Hospitals, Plot, No. 5, Ahinsa Chowk, Kachnar Road Vija, Jabalpur-482002 Madhya Pradesh",,,"Only -B, Scheme Total facilities of hospital y Nagar, (OPD & Indoor) hal",29.10.2024,
205,Jabalpur,"Laxmi Narayan Hospital, 1125, Madan Ma","Jabalpur-482002 Madhya Pradesh, Nagpur Road, Jabalpur, Pin-482001, Mad, Pradesh, Bhandari Hospital & Research Centre, 138A, Vasundhara Colony, Golpura By-pa",,,"(OPD & Indoor) hal hya Acceptable for Oncology services only ss, Tonk",16.07.2025,
206,Jaipur,Bhandari Hospital & Research Centre,"Pradesh, 138A, Vasundhara Colony, Golpura By-pa, Road, Jaipur-302018, Ph:- 0141-2703851,2703852,2705122, Fax:- 0141-2707147,, E-Mail: contact@bhandarihospital.net, S.R. Kalla Memorial Gastro & General H, 78-79, Dhuleswar Garden, Behind HSBC B","0141-2703851,2703852,2705122                  (; 0141-2707147,",contact@bhandarihospital.net,"services only ss, Tonk Total facilities of hospital (OPD & Indoor) ospital, ank",01.03.2012,
207,Jaipur,S.R. Kalla Memorial Gastro & General H,"Ph:- 0141-2703851,2703852,2705122, Fax:- 0141-2707147,, E-Mail: contact@bhandarihospital.net, 78-79, Dhuleswar Garden, Behind HSBC B, Sardar Patel Marg, Jaipur - 302 001 (, Ph No. 01415112042, Fax No. 0141237067, E mail : srkallahospital@rediffmail.co, Dhanwantri Hospital& Research Centre","0141-2703851,2703852,2705122                  (; 0141-2707147,",contact@bhandarihospital.net; srkallahospital@rediffmail.com,"(OPD & Indoor) ospital, ank Total facilities of the hospital Rajasthan) (OPD & Indoor) 3 m",23.12.2014,
208,Jaipur,Dhanwantri Hospital& Research Centre,"Ph No. 01415112042, Fax No. 0141237067, E mail : srkallahospital@rediffmail.co, New Sanganer Road, Mansarovar, Jaipur, Ph: 0141 – 2781425/ 2780760, Fax: 0141, E-Mail: dhanwantri_hospital@yahoo.com, NARAYANA HRUDAYALAYA HOSPITAL","0141; 0141-2785243,                                       01",dhanwantri_hospital@yahoo.com; srkallahospital@rediffmail.com,"(OPD & Indoor) 3 m 302020 Total facilities of hospital -2785243, (OPD & Indoor)",01.03.2012,
209,Jaipur,NARAYANA HRUDAYALAYA HOSPITAL,"E-Mail: dhanwantri_hospital@yahoo.com, Sector-28, Kumbha Marg, Sanganer,, Jaipur-302033, Rajasthan, Ph:- 0141-5192939, Heart & General Hospital",0141-5192939,dhanwantri_hospital@yahoo.com,(OPD & Indoor) Total facilities of hospital. Both for OPD/ IPD Services,02.04.2011,
210,Jaipur,Heart & General Hospital,"Jaipur-302033, Rajasthan, Ph:- 0141-5192939, 7, Vivekanand Marg, C-Scheme, Jaipur-3, Ph:-0141-2370271, Fax:-0141-2378859, E-mail: chandwanip@sancharnet.in, IMPERIAL HOSPITAL & RESEARCH CENTRE","0141-5192939; 0141-2370271,; 0141-2378859",chandwanip@sancharnet.in,Both for OPD/ IPD Services 02001 Acceptable for Cardiology services only,17.07.2012,
211,Jaipur,IMPERIAL HOSPITAL & RESEARCH CENTRE,"Ph:-0141-2370271, Fax:-0141-2378859, E-mail: chandwanip@sancharnet.in, Near Main Circle, Shastri Nagar, Jaipu, Ph:- 0141-2300111, 2302300, FaX:- 0141, Fortis Escorts Hospital, Jawahar Lal Nehru Marg, Malviya Nagar","0141-2370271,; 0141-2378859; 0141-2300111, 2302300,; 0141-2307984     (",chandwanip@sancharnet.in,services only r Total facilities of hospital -2307984 (OPD & Indoor),17.07.2012,
212,Jaipur,Fortis Escorts Hospital,"Ph:- 0141-2300111, 2302300, FaX:- 0141, Jawahar Lal Nehru Marg, Malviya Nagar,, Jaipur-302017, Rajasthan, Ph:-0141-2547000, FaX:-0141-2547002,, E-mail: contactus.jaipur@fortishealthc, Metro Manas Arogya Sadan Heart Care &, Speciality Hospital, Shipra Path, Near Technology Park, Man","0141-2300111, 2302300,; 0141-2307984     (; 0141-2547000,; 0141-2547002,",contactus.jaipur@fortishealthcare.com,"-2307984 (OPD & Indoor) Total facilities of hospital for indoor services only are.com Multi sarovar,",17.07.2012,
213,Jaipur,Metro Manas Arogya Sadan Heart Care &,"Ph:-0141-2547000, FaX:-0141-2547002,, E-mail: contactus.jaipur@fortishealthc, Speciality Hospital, Shipra Path, Near Technology Park, Man, Jaipur-302020, Rajasthan, Ph:-0141-6661234/ 8003995467/ 98288812, Fax:-0141-2786242,, E-mail: metromas@metrohospitals.com, BRAHAMANANDA NARAYANA HRUDAYALAYA, (A UNIT OF NARAYANA HRUDALAYA), Tamolia (Dist. Saraikela Kharsawan), N","0141-2547000,; 0141-2547002,; 0141-6661234/ 8003995467/ 9828881287,; 0141-2786242,",contactus.jaipur@fortishealthcare.com; metromas@metrohospitals.com,"indoor services only are.com Multi sarovar, Total facilities of hospital (OPD & indoor) 87, ear Pardih",06.01.2017,
214,Jamshedpur,BRAHAMANANDA NARAYANA HRUDAYALAYA,"Ph:-0141-6661234/ 8003995467/ 98288812, Fax:-0141-2786242,, E-mail: metromas@metrohospitals.com, (A UNIT OF NARAYANA HRUDALAYA), Tamolia (Dist. Saraikela Kharsawan), N, Chowk, BNH More, NH-33, Jamshedpur- 83, Ph: 0657-3984000, Fax: 0657-3984125,, E-Mail: info@bnh.org.in ,, Meherbai Tata Memorial Hospital","0141-6661234/ 8003995467/ 9828881287,; 0141-2786242,; 0657-3984000,; 0657-3984125,",metromas@metrohospitals.com; info@bnh.org.in,"(OPD & indoor) 87, ear Pardih Total facilities of hospital 1012, (OPD & Indoor)",04.04.2011,
215,Jamshedpur,Meherbai Tata Memorial Hospital,"Ph: 0657-3984000, Fax: 0657-3984125,, E-Mail: info@bnh.org.in ,, Stocking Road, Bistupur, Jamshedpur-83, Ph. No. 2427933; 2427944, Apollo Hospitals- Kakinada(East Godava, 13-1-3, Surya Rao Peta","0657-3984000,; 0657-3984125,",info@bnh.org.in,"(OPD & Indoor) Single Specialty (Cancer) 1001 (OPD & Indoor) ri), No. Total facilities of hospital (OPD & Indoor)",23.12.2014,
216,,Apollo Hospitals- Kakinada(East Godava,"Ph. No. 2427933; 2427944, 13-1-3, Surya Rao Peta, Andhra Pradesh PIN : 533001, PH :0884- 2345600/700/800/900, ASHA HOSPITAL (A UNIT OF ASHA INSTITUT, MEDICAL SCIENCES & RESEARCH CENTRE PVT, LTD.)",0884- 2345600/700/800/900,,"(OPD & Indoor) ri), No. Total facilities of hospital (OPD & Indoor) Payment as per MoU. E OF . Total facilities of hospital",08.10.2025,216.                Andhra Pradesh PIN : 533001                         Payment as per MoU.
217,,ASHA HOSPITAL (A UNIT OF ASHA INSTITUT,"MEDICAL SCIENCES & RESEARCH CENTRE PVT, LTD.), Kamptee-Nagpur Road, NH-7, Near Lekha, Cantonment Kamptee – 441001., Ph:- 07109-288741, 320002,, E-Mail: drranjenagrawal@hotmail.com, City Hospital,, Near Prem Readymade, Gandhi Chawk, Kam","07109-288741, 320002,",drranjenagrawal@hotmail.com,"E OF . Total facilities of hospital (including Interventional & modified Nagar, Cardiology, Radiology & on Phaco-surgery) ptee,",04.04.2011,
218,,City Hospital,"Cantonment Kamptee – 441001., Ph:- 07109-288741, 320002,, E-Mail: drranjenagrawal@hotmail.com, Near Prem Readymade, Gandhi Chawk, Kam, Nagpur - 441002., Tel. +91-9323309644/ 9325945952, Email: cityhospitalkamptee@gmail.com, Saral Nursing Home, Lal Bangla (Opp. Chowki Chakeri), Kanp","07109-288741, 320002,; +91-9323309644/ 9325945952                                                        25",drranjenagrawal@hotmail.com; cityhospitalkamptee@gmail.com,"Cardiology, Radiology & on Phaco-surgery) ptee, Total facilities of the hospital Modified on (OPD & Indoor) ur – 208007",06.04.2017,
219,Kanpur,Saral Nursing Home,"Tel. +91-9323309644/ 9325945952, Email: cityhospitalkamptee@gmail.com, Lal Bangla (Opp. Chowki Chakeri), Kanp, Ph: 0512-2402121, 2402200, Fax: 0512-2, E-Mail: info@saralnursinghome.com,, KULWANTI HOSPITALS & RESEARCH CENTRE","+91-9323309644/ 9325945952                                                        25; 0512-2402121, 2402200,; 0512-2452488,",info@saralnursinghome.com; cityhospitalkamptee@gmail.com,"(OPD & Indoor) ur – 208007 452488, Total facilities of hospital (OPD & Indoor)",25.09.2018,
220,Kanpur,KULWANTI HOSPITALS & RESEARCH CENTRE,"E-Mail: info@saralnursinghome.com,, 117/N/8, Saket Puri, Kakadeo, Kanpur-2, Ph: 05122502049, Fax: 05122500102,, E-mail: kulwantihospital@hotmail.com, BHARGAVA HOSPITAL, 15/263 Civil Lines, Kanpur-208001","05122502049,; 05122500102,",info@saralnursinghome.com; kulwantihospital@hotmail.com,(OPD & Indoor) 08025 Total facilities of hospital. 31 .03.2011 Both for OPD/ Indoor.,,
221,Kanpur,BHARGAVA HOSPITAL,"Ph: 05122502049, Fax: 05122500102,, E-mail: kulwantihospital@hotmail.com, 15/263 Civil Lines, Kanpur-208001,, Ph: 0512-2304500, 2304700, 2304900, 23, Fax: 0512-2306497,, E-Mail: bhargavahospital@yahoo.co.in, REGENCY HOSPITAL LTD.","05122502049,; 05122500102,; 0512-2304500, 2304700, 2304900, 2305900,                                           02; 0512-2306497,",bhargavahospital@yahoo.co.in; kulwantihospital@hotmail.com,"Both for OPD/ Indoor. Total facilities of hospital 05900, (OPD & Indoor)",02.04.2011,
222,Kanpur,REGENCY HOSPITAL LTD.,"Fax: 0512-2306497,, E-Mail: bhargavahospital@yahoo.co.in, A-2, Sarvodaya Nagar, Kanpur--208005,, Ph: 0512 2242201-10, Fax: 0512-2213407, E-Mail: rhl_999@sancharnet.in, Globus Hospital( A unit of Hospital In, Ltd.)","0512-2306497,; 0512 2242201-10,; 0512-2213407,                                                04",rhl_999@sancharnet.in; bhargavahospital@yahoo.co.in,"(OPD & Indoor) UP., Total facilities of hospital , (OPD & Indoor) fotech Pvt Orthopedic Services Only,",04.04.2011,
223,Kanpur,Globus Hospital( A unit of Hospital In,"E-Mail: rhl_999@sancharnet.in, Ltd.), 117/N/33, Avon Market Kakadeo Kanpur-2, Ph.: 0512-2500500, 09936333772, Fax: 2, Email: globushospitalspine@gmail.com, Apollo Reach Hospital, Managiri, Sivag","0512-2500500, 09936333772,; 2501444",rhl_999@sancharnet.in; globushospitalspine@gmail.com,"(OPD & Indoor) fotech Pvt Orthopedic Services Only, (OPD and indoor) 08025 Payment to be made in favor 501444 of ‘Hospital Infotech Pvt. Ltd’ angai Total facilities of hospital",25.09.2018,Payment to be made in favor
224,,"Apollo Reach Hospital, Managiri, Sivag","Ph.: 0512-2500500, 09936333772, Fax: 2, Email: globushospitalspine@gmail.com, District, Tamil Nadu PIN : 630307, PH :04565 223700, Apollo Reach Hospital, Karimnagar, Rai","0512-2500500, 09936333772,; 2501444; 04565 223700",globushospitalspine@gmail.com,Payment to be made in favor 501444 of ‘Hospital Infotech Pvt. Ltd’ angai Total facilities of hospital (OPD & Indoor) Payment as per MoU. lways Total facilities of hospital,08.10.2025,Payment to be made in favor Tamil Nadu PIN : 630307                             Payment as per MoU.
225,,PH :04565 223700,"Apollo Reach Hospital, Karimnagar, Rai, Station Road, Telangana PIN : 505001, PH :0878-2200000, Apollo Hospitals, Karur, 163 A- E, All",04565 223700; 0878-2200000,,"lways Total facilities of hospital (OPD & Indoor) Payment as per MoU. wyn Nagar, Total facilities of hospital",08.10.2025,PH :0878-2200000                                    Payment as per MoU.
226,,"Apollo Hospitals, Karur, 163 A- E, All","Kovai Road, Tamil Nadu PIN : 639002, PH :0432-4241900, ESUN HOSPITAL & HEART INSTITUTE, esun More, EM Bypass, Kasba Golpark,, olkata-700107",0432-4241900,,"wyn Nagar, Total facilities of hospital (OPD & Indoor) Payment as per MoU.",08.10.2025,Tamil Nadu PIN : 639002                             Payment as per MoU.
227,Kolkata,PH :0432-4241900,"ESUN HOSPITAL & HEART INSTITUTE, esun More, EM Bypass, Kasba Golpark,, olkata-700107, h:- 033-24434567, 4022-2000, aX:- 033-24439003/5050/ 71222011, -mail:- desun@desunhospital.com,, atientcare@desunhospital.com, .M. BIRLA HEART RESEARCH CENTRE, /1, National Library Avenue, Kolkata - 7, h: 033-30403040,24567777, Fax: 033-24567","0432-4241900; 033-24434567, 4022-2000                                                        01; 033-24439003/5050/ 71222011; 033-30403040,24567777,; 033-24567000,",desun@desunhospital.com; patientcare@desunhospital.com,"Total facilities of hospital (OPD & Indoor) 00027, 000,",01.03.2012,
228,Kolkata,.M. BIRLA HEART RESEARCH CENTRE,"aX:- 033-24439003/5050/ 71222011, -mail:- desun@desunhospital.com,, atientcare@desunhospital.com, /1, National Library Avenue, Kolkata - 7, h: 033-30403040,24567777, Fax: 033-24567, -Mail: bmbhrc@birlaheart.org, hradha Health Care Pvt. Ltd.","033-24439003/5050/ 71222011; 033-30403040,24567777,; 033-24567000,",bmbhrc@birlaheart.org; desun@desunhospital.com; patientcare@desunhospital.com,"(OPD & Indoor) 00027, 000, Total facilities of hospital (OPD & Indoor) Acceptable for",31.03.2011,
